TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
48118991;;;NE;C;;;-2109.5200;-1412085.4998;-36.7787
48118992;;;NE;C;;;-2107.9094;-1438140.9805;37.4539
48118993;;;NE;C;;;2102.1381;1434203.4420;37.1110
48118994;;;NE;C;;;2107.9094;1438140.9805;-37.4539
48118995;;;NE;C;;;-2102.1381;-1434203.4420;-37.1110
48118996;;;NE;C;;;-2062.4918;-1456610.4911;37.0506
48118997;;;NE;C;;;2073.7698;1464575.4542;37.7421
48118998;;;NE;C;;;2062.4918;1456610.4911;-37.0506
48118999;;;NE;C;;;-2073.7698;-1464575.4542;-37.7421
48119164;;;NE;C;;;-2033.3191;-1473456.6665;36.7782
48119165;;;NE;C;;;2056.0833;1489952.8522;38.2063
48119166;;;NE;C;;;2033.3191;1473456.6665;-36.7782
48119167;;;NE;C;;;-2056.0833;-1489952.8522;-38.2063
48119168;;;NE;C;;;-2005.0424;-1489885.1003;36.5101
48119169;;;NE;C;;;2038.5388;1514775.2972;38.6596
48119170;;;NE;C;;;2005.0424;1489885.1003;-36.5101
48119171;;;NE;C;;;-2038.5388;-1514775.2972;-38.6596
48119172;;;NE;C;;;-1977.6196;-1505910.6504;36.2463
48119173;;;NE;C;;;2021.1511;1539058.8787;39.1024
48119174;;;NE;C;;;1977.6196;1505910.6504;-36.2463
48119175;;;NE;C;;;-2021.1511;-1539058.8787;-39.1024
48119176;;;NE;C;;;-1951.9903;-1522322.3798;36.0985
48119177;;;NE;C;;;2000.7258;1560330.3531;39.3660
48119178;;;NE;C;;;1951.9903;1522322.3798;-36.0985
48119179;;;NE;C;;;-2000.7258;-1560330.3531;-39.3660
48119180;;;NE;C;;;-1923.0241;-1535096.6407;35.6589
48119181;;;NE;C;;;1986.1063;1585453.4148;39.9803
48119182;;;NE;C;;;1923.0241;1535096.6407;-35.6589
48119183;;;NE;C;;;-1986.1063;-1585453.4148;-39.9803
48119184;;;NE;C;;;-1898.1423;-1550072.7610;35.4115
48119185;;;NE;C;;;1969.3327;1608208.7692;40.3912
48119186;;;NE;C;;;1898.1423;1550072.7610;-35.4115
48119187;;;NE;C;;;-1969.3327;-1608208.7692;-40.3912
48119188;;;NE;C;;;-1873.9471;-1564707.1413;35.1679
48119189;;;NE;C;;;1952.7362;1630494.3909;40.7933
48119190;;;NE;C;;;1873.9471;1564707.1413;-35.1679
48119191;;;NE;C;;;-1952.7362;-1630494.3909;-40.7933
48119192;;;NE;C;;;-1850.4103;-1579010.7749;34.9279
48119193;;;NE;C;;;1936.3238;1652323.2790;41.1870
48119194;;;NE;C;;;1850.4103;1579010.7749;-34.9279
48119195;;;NE;C;;;-1936.3238;-1652323.2790;-41.1870
48119196;;;NE;C;;;-1827.5067;-1592993.9434;34.6915
48119197;;;NE;C;;;1920.1030;1673707.8654;41.5724
48119198;;;NE;C;;;1827.5067;1592993.9434;-34.6915
48119199;;;NE;C;;;-1920.1030;-1673707.8654;-41.5724
48119200;;;NE;C;;;-1805.2057;-1606666.7082;34.4584
48119201;;;NE;C;;;1904.0731;1694660.5353;41.9499
48119202;;;NE;C;;;1805.2057;1606666.7082;-34.4584
48119203;;;NE;C;;;-1904.0731;-1694660.5353;-41.9499
48119204;;;NE;C;;;-1783.4794;-1620038.5795;34.2285
48119205;;;NE;C;;;1888.2337;1715193.0758;42.3199
48119206;;;NE;C;;;1783.4794;1620038.5795;-34.2285
48119207;;;NE;C;;;-1888.2337;-1715193.0758;-42.3199
48119208;;;NE;C;;;-1762.3024;-1633118.5497;34.0019
48119209;;;NE;C;;;1872.5847;1735316.7285;42.6825
48119210;;;NE;C;;;1762.3024;1633118.5497;-34.0019
48119211;;;NE;C;;;-1872.5847;-1735316.7285;-42.6825
48119212;;;NE;C;;;-1741.6516;-1645915.1235;33.7783
48119213;;;NE;C;;;1857.1262;1755042.2367;43.0380
48119214;;;NE;C;;;1741.6516;1645915.1235;-33.7783
48119215;;;NE;C;;;-1857.1262;-1755042.2367;-43.0380
48119216;;;NE;C;;;-1721.5057;-1658436.3441;33.5577
48119217;;;NE;C;;;1841.8585;1774379.8870;43.3867
48119218;;;NE;C;;;1721.5057;1658436.3441;-33.5577
48119219;;;NE;C;;;-1841.8585;-1774379.8870;-43.3867
48119220;;;NE;C;;;-1701.8379;-1670690.3863;33.3400
48119221;;;NE;C;;;1826.7739;1793339.8468;43.7289
48119222;;;NE;C;;;1701.8379;1670690.3863;-33.3400
48119223;;;NE;C;;;-1826.7739;-1793339.8468;-43.7289
48119224;;;NE;C;;;-1682.6377;-1682683.9201;33.1251
48119225;;;NE;C;;;1811.8815;1811931.2369;44.0647
48119226;;;NE;C;;;1682.6377;1682683.9201;-33.1251
48119227;;;NE;C;;;-1811.8815;-1811931.2369;-44.0647
48119228;;;NE;C;;;-1672.8471;-1694457.4471;33.0119
48119229;;;NE;C;;;1804.3110;1827619.7288;44.2713
48119230;;;NE;C;;;1672.8471;1694457.4471;-33.0119
48119231;;;NE;C;;;-1804.3110;-1827619.7288;-44.2713
48119232;;;NE;C;;;-1642.3313;-1702897.2986;32.4958
48119233;;;NE;C;;;1785.2243;1851059.8574;45.0324
48119234;;;NE;C;;;1642.3313;1702897.2986;-32.4958
48119235;;;NE;C;;;-1785.2243;-1851059.8574;-45.0324
48119236;;;NE;C;;;-1623.5042;-1714282.6758;32.3009
48119237;;;NE;C;;;1769.5186;1868461.4476;45.3487
48119238;;;NE;C;;;1623.5042;1714282.6758;-32.3009
48119239;;;NE;C;;;-1769.5186;-1868461.4476;-45.3487
48119240;;;NE;C;;;-1605.1433;-1725443.6340;32.1085
48119241;;;NE;C;;;1754.0615;1885522.7932;45.6584
48119242;;;NE;C;;;1605.1433;1725443.6340;-32.1085
48119243;;;NE;C;;;-1754.0615;-1885522.7932;-45.6584
48119244;;;NE;C;;;-1587.2208;-1736386.8965;31.9187
48119245;;;NE;C;;;1738.8381;1902253.1143;45.9618
48119246;;;NE;C;;;1587.2208;1736386.8965;-31.9187
48119247;;;NE;C;;;-1738.8381;-1902253.1143;-45.9618
48119248;;;NE;C;;;-1569.7176;-1747118.2779;31.7314
48119249;;;NE;C;;;1723.8421;1918661.0506;46.2592
48119250;;;NE;C;;;1569.7176;1747118.2779;-31.7314
48119251;;;NE;C;;;-1723.8421;-1918661.0506;-46.2592
48121281;;;NE;C;;;-16031.2719;-2410063.9534;-60.0525
48121282;;;NE;C;;;16031.2719;2410063.9534;-39.4072
48121283;;;NE;C;;;16031.2719;2410063.9534;60.0525
48121284;;;NE;C;;;-16031.2719;-2410063.9534;39.4072
48121285;;;NE;C;;;16488.1393;2478747.1888;45.2062
48121286;;;NE;C;;;-16488.1393;-2478747.1888;-45.2062
48121287;;;NE;C;;;-18840.1175;-3235030.0545;-60.2942
48121288;;;NE;C;;;18840.1175;3235030.0545;-39.0834
48121289;;;NE;C;;;18840.1175;3235030.0545;60.2942
48121290;;;NE;C;;;-18840.1175;-3235030.0545;39.0834
48121291;;;NE;C;;;19469.7830;3343149.6852;46.2439
48121292;;;NE;C;;;-19469.7830;-3343149.6852;-46.2439
48144148;;;NE;C;;;-21011.7522;-3734293.1039;-61.8987
48144149;;;NE;C;;;21011.7522;3734293.1039;-37.4439
48144150;;;NE;C;;;21011.7522;3734293.1039;61.8987
48144151;;;NE;C;;;-21011.7522;-3734293.1039;37.4439
48144184;;;NE;C;;;-16576.5288;-3047323.4361;-61.9844
48144185;;;NE;C;;;16576.5288;3047323.4361;-37.3367
48144186;;;NE;C;;;16576.5288;3047323.4361;61.9844
48144187;;;NE;C;;;-16576.5288;-3047323.4361;37.3367
48144215;;;NE;C;;;21685.3634;3854009.9874;42.2763
48144216;;;NE;C;;;-21685.3634;-3854009.9874;-42.2763
48144275;;;NE;C;;;17149.6037;3152673.8679;42.6081
48144276;;;NE;C;;;-17149.6037;-3152673.8679;-42.6081
48310963;;;NE;D;;;-4554.7684;-4399836.7065;41.0176
48329063;;;NE;C;;;4554.7684;4399836.7065;-41.0176
48355335;;;NE;C;;;28952.3926;10957150.1351;52.7206
